,day,s,e,i,h,r,d,v
0,1.0,5014,2188,264,1,0,0,2533
1,2.0,4923,2275,262,4,0,0,2536
2,3.0,4897,2300,258,6,2,0,2537
3,4.0,4871,2319,255,7,7,0,2541
4,5.0,4846,2338,232,6,31,0,2547
5,6.0,4832,2343,115,4,155,0,2551
6,7.0,4828,2340,25,0,254,0,2553
7,8.0,4787,2306,99,0,254,0,2554
8,9.0,4501,1875,813,0,254,0,2557
9,10.0,4321,39,2823,3,254,0,2560
10,11.0,4311,0,2861,13,254,0,2561
11,12.0,4302,5,2846,28,254,0,2565
12,13.0,4297,6,2830,44,254,0,2569
13,14.0,4296,6,2820,54,254,0,2570
14,15.0,4293,0,2809,68,258,1,2571
15,16.0,4288,0,2785,84,265,2,2576
16,17.0,4287,0,2753,101,280,2,2577
17,18.0,4284,0,2688,111,330,7,2580
18,19.0,4278,0,2265,101,756,14,2586
19,20.0,4276,0,610,32,2474,20,2588
20,21.0,4275,0,498,24,2594,20,2589
21,22.0,4271,0,487,25,2602,22,2593
22,23.0,4269,0,486,12,2602,36,2595
23,24.0,4267,0,355,2,2602,177,2597
